query,cluster,type,n_chars,n_tokens,mean_tok_len,frac_latin,frac_digit,frac_vowel,max_char_run,dict_coverage,mean_edit_dist,oddness
детская бутылочка для кормления,7,норма · фраза,31,4,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.875484937893602
мясо с гарниром,1,норма · 2 слова,15,3,4.333333333333333,0.0,0.0,0.38461538461538464,1,1.0,0.0,6.007309467292059
заморозки суп,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,6.19419330475941
капустапекин,2,искажённое слово,12,1,12.0,0.0,0.0,0.4166666666666667,1,0.0,0.4166666666666667,5.8049447655208155
макадамиа,2,искажённое слово,9,1,9.0,0.0,0.0,0.5555555555555556,1,0.0,0.1111111111111111,5.753477569869065
пиво хамовники,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.46153846153846156,1,1.0,0.0,5.5351704655774006
ваниль масло,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,5.858653756378044
чипсы лисичками,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.306138160242976
капсулыдоя,2,искажённое слово,10,1,10.0,0.0,0.0,0.5,1,0.0,0.3,6.775115857444889
вода газировка,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.46153846153846156,1,1.0,0.0,5.735837567972487
морская капуста,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.794494893476686
хлеб hawk,1,норма · 2 слова,9,2,4.0,0.5,0.0,0.25,1,1.0,0.0,6.154714436861634
вермишель,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.218091449841206
жижа для пода,9,фраза с искажением,13,3,3.6666666666666665,0.0,0.0,0.45454545454545453,1,0.6666666666666666,0.25,6.550373683430421
игла,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,5.632385435938117
джем,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.25,1,1.0,0.0,6.227505273464169
мармед,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.25,5.80461947535173
сушки,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.4795933918680895
коврик для суш,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.649354998489392
розмарин ари,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.45454545454545453,1,1.0,0.0,5.632241245970697
фасовка,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.751606539088707
мидии за т,4,норма · удвоенная буква,10,3,2.6666666666666665,0.0,0.0,0.5,2,1.0,0.0,6.232946280990624
вода лимон,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.667095856141252
чебупицца пе,10,искажённое слово · вставки/удвоения,12,2,5.5,0.0,0.0,0.45454545454545453,2,0.5,0.5,6.4679177341936365
