query,cluster,type,n_chars,n_tokens,mean_tok_len,frac_latin,frac_digit,frac_vowel,max_char_run,dict_coverage,mean_edit_dist,oddness
паста спагетти,4,норма · удвоенная буква,14,2,6.5,0.0,0.0,0.38461538461538464,2,1.0,0.0,6.12969631765636
на беременность,4,норма · удвоенная буква,15,2,7.0,0.0,0.0,0.35714285714285715,2,1.0,0.0,5.6695390351371735
чай черный tea,1,норма · 2 слова,14,3,4.0,0.25,0.0,0.3333333333333333,1,1.0,0.0,6.498692434770963
нектар самокат яблоко банан,7,норма · фраза,27,4,6.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.881379537083149
ряженка,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.23818925634037
усы,3,норма · 1 слово,3,1,3.0,0.0,0.0,0.6666666666666666,1,1.0,0.0,5.723201102987409
освежить,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.375,1,1.0,0.0,6.180032151325007
сыр камамбер президент,7,норма · фраза,22,3,6.666666666666667,0.0,0.0,0.35,1,1.0,0.0,6.186170658984925
контейнер для специй,7,норма · фраза,20,3,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.136232863438354
ролтон,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.14285714285714285,5.973547754208128
чискейки,2,искажённое слово,8,1,8.0,0.0,0.0,0.375,1,0.0,0.25,6.003696407352657
hiper,0,латиница,5,1,5.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
мороженое дубайский,5,норма · длинные слова,19,2,9.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.6615882316122805
choko bons,0,латиница,10,2,4.5,1.0,0.0,0.0,1,0.5,0.0,16.123358179532573
кекс,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.25,1,1.0,0.0,5.989020220851889
желе из мяса,1,норма · 2 слова,12,3,3.3333333333333335,0.0,0.0,0.5,1,1.0,0.0,6.306629657503264
растительное,5,норма · длинные слова,12,1,12.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.327730198581823
детские пеленки 60,8,запрос с числом,18,2,7.0,0.0,0.1111111111111111,0.42857142857142855,1,1.0,0.0,5.440250239691579
соус к бургер у,7,норма · фраза,15,4,3.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,6.889304246594424
чипсы тз болгарии,4,норма · удвоенная буква,17,3,5.0,0.0,0.0,0.4,2,1.0,0.0,7.30282124738649
дубайски,2,искажённое слово,8,1,8.0,0.0,0.0,0.375,1,0.0,0.1111111111111111,5.776829859232921
малиновый джем махеев,4,норма · удвоенная буква,21,3,6.333333333333333,0.0,0.0,0.42105263157894735,2,0.6666666666666666,0.14285714285714285,6.7161885597479785
спрей для горла,1,норма · 2 слова,15,3,4.333333333333333,0.0,0.0,0.3076923076923077,1,1.0,0.0,6.395159261336457
игрушки я это эко,7,норма · фраза,17,4,3.5,0.0,0.0,0.5714285714285714,1,1.0,0.0,7.156165684110973
зефир кручёный с,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.35714285714285715,1,1.0,0.0,6.703017640541207
vitamin д,1,норма · 2 слова,9,2,4.0,0.875,0.0,0.0,1,1.0,0.0,5.387287975933939
alean,0,латиница,5,1,5.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
пшеничные блинчики с маскарпоне,7,норма · фраза,31,4,7.0,0.0,0.0,0.39285714285714285,1,1.0,0.0,5.844981928344385
сырок с твердый,1,норма · 2 слова,15,3,4.333333333333333,0.0,0.0,0.3076923076923077,1,1.0,0.0,5.770712206638994
initio,0,латиница,6,1,6.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
не жаренные,4,норма · удвоенная буква,11,2,5.0,0.0,0.0,0.5,2,1.0,0.0,5.401887488415893
gloriis,11,латиница · удвоения,7,1,7.0,1.0,0.0,0.0,2,0.0,0.0,16.123358179532573
скраб для лица the act,7,норма · фраза,22,5,3.6,0.3333333333333333,0.0,0.3333333333333333,1,1.0,0.0,6.496003467092688
чумачуп,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.5555555555555556,7.423024520338779
фарш 500 г,8,запрос с числом,10,2,2.5,0.0,0.3,0.2,2,1.0,0.0,7.898295078128956
вилла,4,норма · удвоенная буква,5,1,5.0,0.0,0.0,0.4,2,1.0,0.0,6.1331466296668635
nescafé,0,латиница,7,1,6.0,0.8571428571428571,0.0,0.0,1,1.0,0.0,16.123358179532573
мультивак,2,искажённое слово,9,1,9.0,0.0,0.0,0.3333333333333333,1,0.0,0.18181818181818182,6.081503409496866
скотч от,1,норма · 2 слова,8,2,3.5,0.0,0.0,0.2857142857142857,1,1.0,0.0,6.250831767672064
ванилин пис,9,фраза с искажением,11,2,5.0,0.0,0.0,0.4,1,0.5,0.3333333333333333,6.44291470508956
серце,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.16666666666666666,5.642435061135632
докторская бородинский,5,норма · длинные слова,22,2,10.5,0.0,0.0,0.38095238095238093,1,1.0,0.0,5.648851028806546
rolton,0,латиница,6,1,6.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
ляйам,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.4,7.837425614821647
чипсы lays и зелень,7,норма · фраза,19,4,4.0,0.25,0.0,0.4166666666666667,1,1.0,0.0,6.860736153685202
блок зар,1,норма · 2 слова,8,2,3.5,0.0,0.0,0.2857142857142857,1,1.0,0.0,6.243028006402792
курица  бедро,4,норма · удвоенная буква,13,2,5.5,0.0,0.0,0.45454545454545453,2,1.0,0.0,6.095164411397465
из беларуси сок bambolina,7,норма · фраза,25,4,5.5,0.4090909090909091,0.0,0.46153846153846156,1,1.0,0.0,6.120564379253771
сомат 50,8,запрос с числом,8,1,5.0,0.0,0.25,0.4,1,1.0,0.0,5.273085274980834
гранола без са,9,фраза с искажением,14,3,4.0,0.0,0.0,0.4166666666666667,1,0.6666666666666666,0.3333333333333333,5.950910253892356
энерг,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.16666666666666666,6.6377391634655325
вода 2л,8,запрос с числом,7,2,2.5,0.0,0.14285714285714285,0.4,1,1.0,0.0,5.584243364920845
еже,3,норма · 1 слово,3,1,3.0,0.0,0.0,0.6666666666666666,1,1.0,0.0,6.1505524353362615
сольни,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.2857142857142857,5.091576371498119
чибупело,2,искажённое слово,8,1,8.0,0.0,0.0,0.5,1,0.0,0.25,6.294715877613813
самокат молочный коктейль,7,норма · фраза,25,3,7.666666666666667,0.0,0.0,0.34782608695652173,1,1.0,0.0,5.901873645932003
колбаски,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.375,1,1.0,0.0,5.255312288583359
минеральная вода самокат без газа,7,норма · фраза,33,5,5.8,0.0,0.0,0.4482758620689655,1,1.0,0.0,6.116338295890119
крабовые палочки и,7,норма · фраза,18,3,5.333333333333333,0.0,0.0,0.5,1,1.0,0.0,5.85081809996538
ку палочки,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.6831772827700915
приправа мельницы,5,норма · длинные слова,17,2,8.0,0.0,0.0,0.375,1,1.0,0.0,5.7007891679910925
dure,0,латиница,4,1,4.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
шоколад на кокос,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.484570903187914
тркбоч,2,искажённое слово,6,1,6.0,0.0,0.0,0.16666666666666666,1,0.0,0.375,7.67964419282108
каша в пакетиках,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.394938818450919
чечевица,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.5,1,1.0,0.0,6.257736468033128
сок детский,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.3,1,1.0,0.0,6.187991282184412
корица трапеза,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.46153846153846156,1,1.0,0.0,5.556098681719017
рбмка,2,искажённое слово,5,1,5.0,0.0,0.0,0.2,1,0.0,0.2,7.547239163254962
пандочи,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.375,5.565546839421472
мишкам,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.115948927479523
сэндвич,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.2857142857142857,1,1.0,0.0,7.48171919938437
кирьншки,2,искажённое слово,8,1,8.0,0.0,0.0,0.25,1,0.0,0.25,6.164357872882312
палочки минтая,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.46153846153846156,1,1.0,0.0,5.6796400681761146
нерафинированный,4,норма · удвоенная буква,16,1,16.0,0.0,0.0,0.4375,2,1.0,0.0,5.5434266519879385
холодец,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.151940898021543
манго свежее,4,норма · удвоенная буква,12,2,5.5,0.0,0.0,0.45454545454545453,2,1.0,0.0,5.984973812471839
сэнд,2,искажённое слово,4,1,4.0,0.0,0.0,0.25,1,0.0,0.25,6.9344553885033235
горяштучка,2,искажённое слово,10,1,10.0,0.0,0.0,0.4,1,0.0,0.4,6.471855939294418
бритва для женщин,7,норма · фраза,17,3,5.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.013788774196771
тимьяе,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.16666666666666666,7.55252364397223
lay s рифленые с паприкой,7,норма · фраза,25,5,4.2,0.19047619047619047,0.0,0.4117647058823529,1,1.0,0.0,5.871358085065475
куриные ко лет,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.5,1,1.0,0.0,5.232587459071775
докторская мираторг торг,7,норма · фраза,24,3,7.333333333333333,0.0,0.0,0.36363636363636365,1,1.0,0.0,6.012127170315666
лимонная вода без газа,4,норма · удвоенная буква,22,4,4.75,0.0,0.0,0.47368421052631576,2,1.0,0.0,6.359748892430558
плоская терка,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.525002454854778
причатка,2,искажённое слово,8,1,8.0,0.0,0.0,0.375,1,0.0,0.2222222222222222,5.5477453822734
воск для шугаринга,9,фраза с искажением,18,3,5.333333333333333,0.0,0.0,0.375,1,0.6666666666666666,0.4444444444444444,6.903608767494921
влажная ту,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.4444444444444444,1,1.0,0.0,6.326858569012815
крем для лица для сухой,7,норма · фраза,23,5,3.8,0.0,0.0,0.3684210526315789,1,1.0,0.0,6.26878237115798
жвачка еклипс,9,фраза с искажением,13,2,6.0,0.0,0.0,0.3333333333333333,1,0.5,0.3333333333333333,7.1285753444491
морская карусту,9,фраза с искажением,15,2,7.0,0.0,0.0,0.42857142857142855,1,0.5,0.2857142857142857,5.92112883892644
бобы эдамаме,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.5454545454545454,1,1.0,0.0,7.136804086325614
батончики шоколад,5,норма · длинные слова,17,2,8.0,0.0,0.0,0.4375,1,1.0,0.0,5.8811590153616935
тесто для,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,5.161981591620553
салфетки бумажные косметические,7,норма · фраза,31,3,9.666666666666666,0.0,0.0,0.4482758620689655,1,1.0,0.0,5.787904700017984
электрическая с,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.1336218931104876
чивапчики,2,искажённое слово,9,1,9.0,0.0,0.0,0.4444444444444444,1,0.0,0.2222222222222222,5.77007366319433
mirella,11,латиница · удвоения,7,1,7.0,1.0,0.0,0.0,2,0.0,0.0,16.123358179532573
шашлычный,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.55309143700662
доьрый кола,9,фраза с искажением,11,2,5.0,0.0,0.0,0.4,1,0.5,0.16666666666666666,7.318033412200142
курасан миндальный,9,фраза с искажением,18,2,8.5,0.0,0.0,0.35294117647058826,1,0.5,0.2857142857142857,6.090566124685775
хамон,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.953800983435695
виногра,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.125,5.548853643417463
сыр легкий,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.519116158159126
фасоль,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.058068380278413
кефир обезжиренный,4,норма · удвоенная буква,18,2,8.5,0.0,0.0,0.4117647058823529,2,1.0,0.0,6.157352894773371
шоколадроссия,10,искажённое слово · вставки/удвоения,13,1,13.0,0.0,0.0,0.46153846153846156,2,0.0,0.38461538461538464,5.727563119502903
наген,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.4,6.078520570561874
касирюля,2,искажённое слово,8,1,8.0,0.0,0.0,0.5,1,0.0,0.25,6.299433119861597
хлеб с тыкв,1,норма · 2 слова,11,3,3.0,0.0,0.0,0.2222222222222222,1,1.0,0.0,7.036734513339067
микссыров,10,искажённое слово · вставки/удвоения,9,1,9.0,0.0,0.0,0.3333333333333333,2,0.0,0.4444444444444444,5.788648285787568
самокат злаковый,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.4,1,1.0,0.0,6.088531074391554
с шоколадом булка,7,норма · фраза,17,3,5.0,0.0,0.0,0.4,1,1.0,0.0,6.132179118076764
сменный картридж барьер,4,норма · удвоенная буква,23,3,7.0,0.0,0.0,0.2857142857142857,2,1.0,0.0,6.408577717096117
чай черный цейлон,7,норма · фраза,17,3,5.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.742094253205638
кошки туалет,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.45454545454545453,1,1.0,0.0,5.734415210787135
салфетки для пыл,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.35714285714285715,1,1.0,0.0,6.715458920202237
маропет,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.42857142857142855,5.543184439941106
перепили,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.5,1,1.0,0.0,5.69514831164577
маршме,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.4,6.410798079707628
желатик,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.14285714285714285,5.6030530526915
йогурт греческий у,7,норма · фраза,18,3,5.333333333333333,0.0,0.0,0.375,1,1.0,0.0,7.215717407322788
соус цехарь,9,фраза с искажением,11,2,5.0,0.0,0.0,0.4,1,0.5,0.16666666666666666,7.189280634673073
для мытья посуды grass,4,норма · удвоенная буква,22,4,4.75,0.2631578947368421,0.0,0.42857142857142855,2,1.0,0.0,6.691955178897268
паштет bo тунца,1,норма · 2 слова,15,3,4.333333333333333,0.15384615384615385,0.0,0.36363636363636365,1,1.0,0.0,6.434800094040029
скумбри,2,искажённое слово,7,1,7.0,0.0,0.0,0.2857142857142857,1,0.0,0.125,6.033256481412912
тампонымини,2,искажённое слово,11,1,11.0,0.0,0.0,0.45454545454545453,1,0.0,0.36363636363636365,5.745369087732192
арах,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,6.120653581898721
посуда чашка,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.45454545454545453,1,1.0,0.0,6.175010602505762
лодка,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.386985072638293
и офиса,1,норма · 2 слова,7,2,3.0,0.0,0.0,0.6666666666666666,1,1.0,0.0,6.18304024844184
овощечистка,5,норма · длинные слова,11,1,11.0,0.0,0.0,0.45454545454545453,1,1.0,0.0,5.861547838333259
смесь капусты,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.254700875486827
гель для душа олд,9,фраза с искажением,17,4,3.5,0.0,0.0,0.35714285714285715,1,0.75,0.25,6.823848986722904
галатея,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.5714285714285714,1,1.0,0.0,5.621988056615628
высокобело,2,искажённое слово,10,1,10.0,0.0,0.0,0.5,1,0.0,0.2857142857142857,5.740907218541763
пирожное в форме,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.371455126819413
консервация фруктов,5,норма · длинные слова,19,2,9.0,0.0,0.0,0.3888888888888889,1,1.0,0.0,6.3782276582093
консервы горбуша,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.4,1,1.0,0.0,6.297837273165576
карбо,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.3333333333333333,5.922136094950358
чайкоф,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.3333333333333333,7.127714592587672
бургера,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.966625344694148
зубная щетка жесткость,7,норма · фраза,22,3,6.666666666666667,0.0,0.0,0.35,1,1.0,0.0,6.111984205275947
основа для кокткйля,7,норма · фраза,19,3,5.666666666666667,0.0,0.0,0.35294117647058826,1,0.6666666666666666,0.125,6.354432848564971
чипсы lays барбекю,7,норма · фраза,18,3,5.333333333333333,0.25,0.0,0.4166666666666667,1,1.0,0.0,7.038229184121331
пирог сдобная особа кремобон 380 г,7,норма · фраза,34,5,5.2,0.0,0.08823529411764706,0.4230769230769231,1,1.0,0.0,6.588797732042426
ватные палочки д,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.872202425833948
ветчина индека,9,фраза с искажением,14,2,6.5,0.0,0.0,0.46153846153846156,1,0.5,0.14285714285714285,5.9315969807402
стаканы под пиво,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.00629795760575
пряники к 23 февраля,7,норма · фраза,20,3,5.0,0.0,0.1,0.4,1,1.0,0.0,6.3210750067241595
банк,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.25,1,1.0,0.0,5.918691676629011
виш,2,искажённое слово,3,1,3.0,0.0,0.0,0.3333333333333333,1,0.0,0.3333333333333333,7.404769357379015
колбаска курица,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.646059535842211
черноголовка,5,норма · длинные слова,12,1,12.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.518725314123578
блинчики kitchen,5,норма · длинные слова,16,2,7.5,0.4666666666666667,0.0,0.375,1,1.0,0.0,5.6550892945274525
фрешмикс пестравка,9,фраза с искажением,18,2,8.5,0.0,0.0,0.29411764705882354,1,0.5,0.375,6.55841081698676
красн,2,искажённое слово,5,1,5.0,0.0,0.0,0.2,1,0.0,0.16666666666666666,5.759289372492732
пмроденное,10,искажённое слово · вставки/удвоения,10,1,10.0,0.0,0.0,0.4,2,0.0,0.3333333333333333,5.861154325905432
натирание,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.5555555555555556,1,1.0,0.0,5.183551852990565
сосиски венскме,9,фраза с искажением,15,2,7.0,0.0,0.0,0.35714285714285715,1,0.5,0.14285714285714285,5.975376498049068
поткорей,2,искажённое слово,8,1,8.0,0.0,0.0,0.375,1,0.0,0.375,5.358457879013554
бвльзамик,2,искажённое слово,9,1,9.0,0.0,0.0,0.2222222222222222,1,0.0,0.3333333333333333,6.847450730392618
яблочная меренга с его,7,норма · фраза,22,4,4.75,0.0,0.0,0.47368421052631576,1,1.0,0.0,6.252065654932197
выпечка с картофелем,7,норма · фраза,20,3,6.0,0.0,0.0,0.3888888888888889,1,1.0,0.0,5.9670249284753165
разводной,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.972037552159908
lay,0,латиница,3,1,3.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
острые кр,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,5.685341321924119
патчи гелевые,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.5,1,1.0,0.0,5.809496377763335
тильт,2,искажённое слово,5,1,5.0,0.0,0.0,0.2,1,0.0,0.3333333333333333,6.277129486996009
конфеты само,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.45454545454545453,1,1.0,0.0,5.904137409213572
орехи арахис,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.5454545454545454,1,1.0,0.0,6.3422155480213585
сок вишн,9,фраза с искажением,8,2,3.5,0.0,0.0,0.2857142857142857,1,0.5,0.2,6.7788244580694155
чупачвпс,2,искажённое слово,8,1,8.0,0.0,0.0,0.25,1,0.0,0.625,8.423485501420322
колб,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.25,1,1.0,0.0,5.681418771414631
шоколад милка,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,6.105659660346978
вафли с вар,1,норма · 2 слова,11,3,3.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.344359591022805
cocoun,0,латиница,6,1,6.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
икра кухмастер,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.38461538461538464,1,1.0,0.0,6.134281191513586
огурц,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.16666666666666666,6.843878808579727
аромо свеча,9,фраза с искажением,11,2,5.0,0.0,0.0,0.5,1,0.5,0.2,5.782618420958782
без сахара zuegg,4,норма · удвоенная буква,16,3,4.666666666666667,0.35714285714285715,0.0,0.4444444444444444,2,1.0,0.0,6.401503288861169
сельдре,2,искажённое слово,7,1,7.0,0.0,0.0,0.2857142857142857,1,0.0,0.2222222222222222,5.973093023441592
йогурт пломбирный,5,норма · длинные слова,17,2,8.0,0.0,0.0,0.3125,1,1.0,0.0,6.718189201891431
кукурузны палочки,5,норма · длинные слова,17,2,8.0,0.0,0.0,0.4375,1,1.0,0.0,6.02954731177887
promo,0,латиница,5,1,5.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
сырокопченый бекон самокат,7,норма · фраза,26,3,8.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.833011506930145
тарталетки песочные икорные,7,норма · фраза,27,3,8.333333333333334,0.0,0.0,0.48,1,1.0,0.0,5.547742829131585
стержень,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.25,1,1.0,0.0,5.832500392954063
горчица зен,9,фраза с искажением,11,2,5.0,0.0,0.0,0.4,1,0.5,0.3333333333333333,6.282619842412945
мидии,4,норма · удвоенная буква,5,1,5.0,0.0,0.0,0.6,2,1.0,0.0,6.274296600845273
коломенскиц,2,искажённое слово,11,1,11.0,0.0,0.0,0.36363636363636365,1,0.0,0.09090909090909091,5.500874495043198
кулон на шнурке,1,норма · 2 слова,15,3,4.333333333333333,0.0,0.0,0.38461538461538464,1,1.0,0.0,6.175162341323782
веганмасло,2,искажённое слово,10,1,10.0,0.0,0.0,0.4,1,0.0,0.1,6.6599224028165995
тктради,2,искажённое слово,7,1,7.0,0.0,0.0,0.2857142857142857,1,0.0,0.14285714285714285,5.756181293233434
dinh,0,латиница,4,1,4.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
колбаса лонганиза,5,норма · длинные слова,17,2,8.0,0.0,0.0,0.4375,1,1.0,0.0,5.684662474581643
адыгейский сыр,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.38461538461538464,1,1.0,0.0,6.787581688048939
полочки ватные палочки,7,норма · фраза,22,3,6.666666666666667,0.0,0.0,0.45,1,1.0,0.0,5.549563631461208
для вещей,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,6.822536339520489
скатка,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,4.991720991151664
кикиеш,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.375,6.057925414493334
мармелад лимоне,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.487583839461448
ледигец,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.42857142857142855,6.778885185157087
durex смазка,1,норма · 2 слова,12,2,5.5,0.45454545454545453,0.0,0.3333333333333333,1,1.0,0.0,5.618911225780124
картнуар,2,искажённое слово,8,1,8.0,0.0,0.0,0.375,1,0.0,0.3333333333333333,6.168655806017208
баклажаны по,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.45454545454545453,1,1.0,0.0,6.0423700074316615
оливье,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.5,1,1.0,0.0,5.724017326537607
огурец здесь,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,7.192935319961927
чтпсы,2,искажённое слово,5,1,5.0,0.0,0.0,0.2,1,0.0,0.2,8.045769000943087
пшено,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.718100473435544
тест ов,9,фраза с искажением,7,2,3.0,0.0,0.0,0.3333333333333333,1,0.5,0.5,5.444000297141152
быстрого приготовления острая,7,норма · фраза,29,3,9.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,6.064009303602499
сахараземенитель,5,норма · длинные слова,16,1,16.0,0.0,0.0,0.4375,1,0.0,0.125,5.826927307793393
авакд,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.4,7.500831516711897
кондиционер свежий,5,норма · длинные слова,18,2,8.5,0.0,0.0,0.4117647058823529,1,1.0,0.0,5.976018815120091
splat романо,1,норма · 2 слова,12,2,5.5,0.45454545454545453,0.0,0.5,1,1.0,0.0,5.278677163713809
в палермо,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,6.293616579041928
мандаринв,2,искажённое слово,9,1,9.0,0.0,0.0,0.3333333333333333,1,0.0,0.1111111111111111,6.08839587106227
соль и,1,норма · 2 слова,6,2,2.5,0.0,0.0,0.4,1,1.0,0.0,5.821746778860846
моющ,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,8.283919872895009
мясо свинина окорок,7,норма · фраза,19,3,5.666666666666667,0.0,0.0,0.47058823529411764,1,1.0,0.0,5.746909856876503
заряд iphone,1,норма · 2 слова,12,2,5.5,0.5454545454545454,0.0,0.4,1,1.0,0.0,6.556994069421635
пицца рец,10,искажённое слово · вставки/удвоения,9,2,4.0,0.0,0.0,0.375,2,0.5,0.3333333333333333,6.6782852423947245
мацарела мини,9,фраза с искажением,13,2,6.0,0.0,0.0,0.5,1,0.5,0.2222222222222222,5.683473029507454
фарш не жирный,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.381246078433656
сыр для жарки,1,норма · 2 слова,13,3,3.6666666666666665,0.0,0.0,0.36363636363636365,1,1.0,0.0,6.102760168618577
закуска из баклажана,7,норма · фраза,20,3,6.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,6.233929834784779
xrteam,0,латиница,6,1,6.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
шоколадный батончик сникерс,7,норма · фраза,27,3,8.333333333333334,0.0,0.0,0.36,1,1.0,0.0,6.12577912348289
кор,2,искажённое слово,3,1,3.0,0.0,0.0,0.3333333333333333,1,0.0,0.25,5.048163536840203
мясо праймбиф,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,7.22536855048312
пиво б,1,норма · 2 слова,6,2,2.5,0.0,0.0,0.4,1,1.0,0.0,5.752019158172349
